id,title,description,score
1,Feedback,"Provide feedback about the results and about the impacts of team members' work, individually.",75.0
6,Methodology benefits,Performance expectancy is the most relevant factor for user acceptance. Focus on the benefits that the team will receive if the new methodology is used.,75.0
16,Salary improvement,Improve salary or variable remuneration.,75.0
17,Promotion,Improve promotion opportunities.,75.0
18,Reduced interruptions,"Minimize administrative tasks and infrastructure issues, and reduce interruptions and meetings.",75.0
19,Remote work,Allow and support working from home.,75.0
20,Meeting rejection,Allow the rejection of meeting requests.,75.0
21,Member autonomy,Increase team members autonomy.,75.0
2,Empathetic team,Encourage the team to practice empathy.,50.0
5,Trust belief actions,Trust belief for a development methodology relies on an individual trust towards the person that introduces the new methodology (see Trust).,50.0
7,Non-collaborative people replacement,Replace non-collaborative people in key positions.,50.0
8,Collaboration frequency,Increase collaboration frequency between team members. Real collaboration means that different team members work in the same task. Daily team meetings where team members can support each other enhance collaboration.,50.0
9,Change benefits awareness,Raise awareness of the benefits of the changes.,50.0
10,Change objectives awareness,Raise awareness of the reasons and objectives of the change.,50.0
11,Change expectations alignment,Align expectations with the goals of change.,50.0
12,Continuous improvement culture,"Encourage team members to look for ways to improve things. It is necessary that the company experiences a cultural shift where change is accepted, where employees and managers feel empowered to seek out and apply new ways to improve things and where there is courage to keep going when setbacks occur.",50.0
13,Expert allocation,Allocate people experienced with the new methodology to the team.,50.0
14,Member acknowledgement,Recognize team members' work. Make sure they receive compliments from supervisors after the work is done.,50.0
15,Frequent communication in changing team,"In a scenario of frequent team member switches, provide frequent feedback, avoiding lack of communication until the project is finished.",50.0
22,Member transfer,The inclusion of new team members fosters knowledge sharing from and towards the new members.,50.0
23,Experienced mentors,Assign an experienced mentor to inexperienced team members to collaborate and share knowledge in order to improve on-the-job learning.,50.0
24,Workshops,Organize workshops that might be taught by experienced members of the organization or by external consultants for relevant skills that are lacking in the team.,50.0
25,Group dynamics activities,Organize group dynamics activities where an instructor suggests an activity analogous to a technical activity.,50.0
29,Simultaneous projects reduction,Reduce the amount of simultaneous projects.,50.0
30,Task complexity balance,Balance the cognitive complexity of the tasks among the team.,50.0
31,Brief meetings,"Shorten the time spent in meetings, or increase time between them.",50.0
32,Urgent tasks reduction,"Reduce the ammount of urgent tasks asigned to team members, or distribute them more evenly.",50.0
33,Isolated planning phases,Reduce coding tasks during planning phases.,50.0
34,No-meeting time,"Concentrate meetings on the same days, and assign no-meeting days.",50.0
35,Interruption rejection,Allow team members to avoid interruptions from co-workers at inopportune moments.,50.0
36,Muted communication channels,Allow team members to avoid distractions from communication channels.,50.0
37,Flexible work hours,Allow flexible work hours.,50.0
38,Timezones meetings scheduling,Improve the scheduling of meetings between timezones.,50.0
39,Team contribution,Recognize and support team members' contributions to other co-workers. This kind of contributions should be considered positively at performance evaluations.,50.0
